Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
ELEC,Baker Nissan North,TX,77065,29.913418,-95.611942
ELEC,Central Houston Nissan,TX,77054,29.676558,-95.422537
ELEC,McDavid Nissan,TX,77034,29.625565,-95.22531
ELEC,Mossy Nissan,TX,77079,29.785494,-95.60022
ELEC,Tom Peacock Nissan,TX,77090,29.990205,-95.423096
ELEC,Robbins Nissan,TX,77338,29.990275,-95.275606
ELEC,Clay Cooley Nissan,TX,75062,32.849437,-96.914294
ELEC,Katy Nissan,TX,77494,29.775354,-95.817237
ELEC,Bates Nissan,TX,76543,31.078549,-97.692745
ELEC,Sames Kingsville Nissan,TX,78363,27.492086,-97.84753
ELEC,Family Nissan of Laredo,TX,78041,27.528418,-99.458211
ELEC,Clear Lake Nissan,TX,77573,29.484543,-95.10255
ELEC,AutoNation Nissan - Lewisville,TX,75067,33.022937,-96.988337
ELEC,Patterson Nissan - Longview,TX,75605,32.553772,-94.727241
ELEC,McGavock Nissan,TX,79424,33.535048,-101.958266
ELEC,Nissan of McKinney,TX,75069,33.161606,-96.644662
ELEC,Trophy Nissan,TX,75150,32.829838,-96.629967
ELEC,Nissan of Midland,TX,79707,32.024113,-102.151567
ELEC,Twin City Nissan,TX,77640,29.953433,-94.0071
ELEC,Courtesy Nissan,TX,75080,32.97135,-96.719803
ELEC,Gillman Nissan,TX,77471,29.534537,-95.772812
ELEC,Round Rock Nissan,TX,78681,30.54205,-97.69265
ELEC,Jim Bass Nissan,TX,76901,31.44646,-100.496244
ELEC,Ancira Nissan,TX,78230,29.543147,-98.57544
ELEC,Gunn Nissan,TX,78209,29.517253,-98.467365
ELEC,Ingram Park Nissan,TX,78238,29.457047,-98.625324
ELEC,World Car Nissan,TX,78233,29.556508,-98.34469
ELEC,Nissan of San Marcos,TX,78666,30.4963137,-97.6809454
ELEC,Nissan of Silsbee,TX,77656,30.314894,-94.18396
ELEC,Sterling McCall Nissan,TX,77477,29.645808,-95.57612
ELEC,Garlyn Shelton Nissan,TX,76502,31.079653,-97.410328
ELEC,Peltier Nissan,TX,75701,32.31165413012184,-95.34249985662234
ELEC,Victory Nissan,TX,77904,28.851423,-96.997881
ELEC,Douglas Nissan,TX,76712,31.495348,-97.160226
ELEC,Southwest Nissan,TX,76087,32.7561,-97.705239
ELEC,Nissan of Wichita Falls,TX,76309,33.88049,-98.545953
ELEC,Passport Nissan - Alexandria,VA,22304,38.809675,-77.122192
ELEC,Priority Nissan - Chantilly,VA,20151,38.899751,-77.460168
ELEC,Colonial Nissan,VA,22901,38.086121,-78.474663
ELEC,Brown's Fairfax Nissan,VA,22030,38.85358,-77.324803
ELEC,Pomoco Nissan - Hampton,VA,23666,37.042363,-76.388316
ELEC,Sheehy Nissan - Manassas,VA,20110,38.760854,-77.459274
ELEC,SCIENCE MUSEUM SCIENCE MUSEUM1,VA,23220,37.561646,-77.465974
ELEC,First Team Nissan,VA,24019,37.345779,-79.962578
ELEC,Brown's Dulles Nissan,VA,20166,39.010459,-77.438399
ELEC,Priority Nissan,VA,22182,38.927033,-77.240836
ELEC,Tri-State Nissan,VA,22602,39.156514,-78.147297
ELEC,Rairdon's Nissan - Auburn,WA,98002,47.338754,-122.221114
ELEC,Bellingham Nissan,WA,98229,48.755607,-122.454132
ELEC,Advantage Nissan,WA,98312,47.562162,-122.684286
ELEC,Burien Nissan,WA,98148,47.458466,-122.333257
ELEC,Campbell-Nelson Nissan,WA,98026,47.778229,-122.344838
ELEC,Campbell Nissan - Everett,WA,98204,47.90272981640562,-122.2469883724914
ELEC,Olympia Nissan,WA,98502,47.031067,-122.930247
ELEC,Bill Robertson Nissan,WA,99301,46.236607,-119.128998
ELEC,Dan Wilder Nissan,WA,98362,48.102863,-123.342273
ELEC,Bill Korum's Puyallup Nissan,WA,98371,47.207367,-122.294997
ELEC,Younker Nissan,WA,98058,47.448354,-122.2188
ELEC,Wendle Nissan,WA,99218,47.739021,-117.409937
ELEC,Dave Smith Nissan - Spokane,WA,99212,47.657264,-117.312518
ELEC,Tacoma Nissan,WA,98409,47.21978,-122.48576
ELEC,Alan Webb Nissan,WA,98662,45.648094,-122.597954
ELEC,O'Brien Nissan,WA,99362,46.047464,-118.353406
ELEC,Mountain View Nissan,TN,37408,35.030251,-85.308376
ELEC,Harold Mathews Nissan,TN,37043,36.513006,-87.268667
ELEC,Cookeville Nissan,TN,38501,36.137109,-85.496453
ELEC,Victory Nissan West,TN,37055,36.023934,-87.340223
ELEC,Rick Hill Nissan,TN,38024,36.063277,-89.379485
ELEC,Nissan of Cool Springs,TN,37067,35.957857,-86.80853
ELEC,Newton Nissan of Gallatin,TN,37066,36.361376,-86.494932
ELEC,Tri-Cities Nissan,TN,37601,36.374198,-82.372119
ELEC,Wallace Nissan Oldsmobile,TN,37660,36.551978,-82.487762
ELEC,Ted Russell Nissan,TN,37919,35.920587,-84.067881
ELEC,Rusty Wallace Nissan,TN,37912,35.999617,-83.969451
ELEC,Nissan of Rivergate,TN,37115,36.29062,-86.7051
ELEC,Roberts Nissan,TN,37355,35.454702,-86.041805
ELEC,Weakley County Motors,TN,38237,36.369277,-88.849653
ELEC,AutoNation Nissan - Memphis,TN,38125,35.0353,-89.795859
ELEC,Jim Keras Nissan,TN,38128,35.181031,-89.895533
ELEC,East Tennessee Nissan,TN,37814,36.18226,-83.382387
ELEC,Nissan of Murfreesboro,TN,37129,35.854156,-86.394979
