,Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
64292,ELEC,Park Meadows DCFC,CO,80124,39.563642379273,-104.875878661724
64293,ELEC,Kroger,GA,30058,33.7182311182635,-84.1441191268422
64294,ELEC,Hickory Flat Highway,GA,30115,34.1711736323994,-84.4162497904632
64295,ELEC,AMC Showplace New Lenox,IL,60451,41.5166262498551,-87.9904558285026
64296,ELEC,Copper Mountain College,CA,92252,34.1413124983078,-116.216564667475
64297,ELEC,Reinhardt University - East Hall Parking Lot,GA,30183,34.3203070861355,-84.54975482532
64298,ELEC,Reinhardt University - Roberts Hall,GA,30183,34.3180818760453,-84.552443223843
64299,ELEC,Reinhardt University - Hill Freeman Library,GA,30183,34.3198850378326,-84.5546433898544
64300,ELEC,South Lewis Senior High School,NY,13473,43.6366932567343,-75.3940390362144
64301,ELEC,The Woods Inn,NY,13360,43.7534208754441,-74.7956907952349
64302,ELEC,Ide Volkswagen of East Rochester,NY,14625,43.1204349477161,-77.486368144916
64303,ELEC,Millburn Municipal Parking Lot 2,NJ,07041,40.725793,-74.30657
64304,ELEC,The Amazing Brentwood Parking Garage - Tesla Supercharger,BC,V5C 3Z6,49.267245,-122.998104
64305,ELEC,Ivy - ONroute Innisfil,ON,L9S 3R7,44.2460812903413,-79.6704202279954
64306,ELEC,Scotiabank,ON,N4S 1C3,43.1304954103831,-80.7566803120047
64307,ELEC,Scotiabank,ON,M3C 1K5,43.7264521391438,-79.3336452524209
64308,ELEC,Scotiabank,ON,M1L 2M9,43.7277060702603,-79.2785311296692
64309,ELEC,Scotiabank,ON,L3P 1X9,43.8777984175472,-79.2602561078501
64310,ELEC,Scotiabank,ON,P0P 2A0,46.1948780854957,-82.3422466598866
64311,ELEC,Chevron - On The Run,BC,V1X 7R1,49.9186419474548,-119.389072337971
64312,ELEC,Mountain Harbor Resort - Joplin Inn,AR,71957,34.541875,-93.451593
64313,ELEC,Emerson Place Apartments,MA,02114,42.36415482,-71.06855774
64314,ELEC,Wills Point - Best Western Plus,TX,75169,32.7010688,-95.9720687
64315,ELEC,San Mateo Crossing,FL,34744,28.3440584,-81.3952699
64316,ELEC,BMW MOTOR WERKS OFF NETWORK1,IL,60010,42.129232,-88.133575
64317,ELEC,DC CORRIDOR CENTRAL SEA COL,WA,98122,47.615553,-122.32285
64318,ELEC,BMW MOTOR WERKS OFF NETWORK1,IL,60010,42.129145,-88.135408
64319,ELEC,TARGET CORP FREMONT 1,CA,94538,37.544392,-121.983906
64320,ELEC,JOHN HANCOCK LMARK EV1,CA,90802,33.76771,-118.193342
64321,ELEC,MACOMB COLLEGE S. CAMPUS LOT 1,MI,48088,42.507497,-82.976273
64322,ELEC,MB OF CALDWELL FRONT LOT 1,NJ,07004,40.85637,-74.313761
64323,ELEC,FLORENCEAZ TOF LIBRARY #1,AZ,85132,33.039455,-111.388657
64324,ELEC,ZOE LIFE 400 2N DUAL,IL,60642,41.889536,-87.654691
64325,ELEC,FKC MICHIGAN AVE 3,MI,49014,42.297009,-85.078151
64326,ELEC,TPS AT FORT MAC BUILDING 315,GA,30310,33.700065,-84.432764
64327,ELEC,TPS AT FORT MAC STAGE 1A-1,GA,33010,33.708301,-84.433137
64328,ELEC,TPS AT FORT MAC STAGE 1A-3,GA,33010,33.708316,-84.433019
64329,ELEC,TPS AT FORT MAC STAGE 1A-2,GA,33010,33.708305,-84.433081
64330,ELEC,BRICKYARD P1-LL LOB 1-S7I,CA,90094,33.9806,-118.408
64331,ELEC,WATERLINE 2W STATION 2,NY,10069,40.7733,-73.991532
64332,ELEC,UNION DEPOT PARKING LOT A2,MN,55101,44.947816,-93.085821
64333,ELEC,UNION DEPOT PARKING LOT A1,MN,55101,44.94784,-93.085812
64334,ELEC,UNION DEPOT PARKING LOT B2,MN,55101,44.94736,-93.085124
