,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Latitude,Longitude
25963,ELEC,"Walgreens - Vancouver, WA #7226",9714 NE Mill Plain Blvd,Vancouver,WA,98664,45.621549,-122.572604
25964,ELEC,Kaiser Permenente - KP MSP Garage,500 Northeast Multnomah Street,Portland,OR,97232,45.5311331,-122.6601137
25965,ELEC,431002 : Heartline,1250 NW Kearney Street,Portland,OR,97209,45.5293196,-122.6837219
25966,ELEC,Operation Svcs,"300 West Laporte, Bldg. B",Fort Collins,CO,80521,40.5898562,-105.0812483
25967,ELEC,Poudre Valley Hospital - ER Lot,1024 S Lemay Ave,Fort Collins,CO,80524,40.573131601899,-105.05642939444
25968,ELEC,531004 - Tektronix,14150 Southwest Karl Braun Drive,Beaverton,OR,97005,45.4991379,-122.8233365
25969,ELEC,531003 : Hillsboro School District,3083 NE 49th Pl,Hillsboro,OR,97123,45.544385132991,-122.9347086151
25970,ELEC,MRC,17360 Holy Names Drive,Lake Oswego,OR,97034,45.4017232,-122.6512718
25971,ELEC,J Building,17530 Provost Street,Lake Oswego,OR,97034,45.4031666,-122.688201
25972,ELEC,"Walgreens - Tigard, OR #5780",13939 SW Pacific Highway,Tigard,OR,97224,45.4192406,-122.7867139
25975,ELEC,"Walgreens - Cornelius, OR #9353",115 N 20th Ave,Cornelius,OR,97113,45.520878,-123.047672
25978,ELEC,UCHealth Greeley Hospital location,6767 West 29th Street,Greeley,CO,80634,40.3901148,-104.788443
25979,ELEC,Courtyard Loveland,6106 Sky Pond Dr,Loveland,CO,80538,40.4102467,-104.9879275
25980,ELEC,"Walgreens - Sherwood, OR #7665",21065 SW Pacific Highway,Sherwood,OR,97140,45.3673,-122.848649
25981,ELEC,"Walgreens - Wilsonville, OR #7688",9450 SW Wilsonville Rd,Wilsonville,OR,97070,45.3029528,-122.7734556
25982,ELEC,Winderlea Vineyard and Winery,8905 NE Worden Hill Road,Dundee,OR,97115,45.278379,-123.043405
25983,ELEC,Sokol Blosser Winery,5000 Sokol Blosser Lane,Dundee,OR,97115,45.2471771,-123.0480541
